video_id,title,comment_count,dislikes,likes,rate_of_likes_and_dislikes,views,category_id,category_name,trending_date,publish_date,duration,views_per_day
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),517232,343541,5023450,14.62256325,225211923,10,Music,6/2/2018,5/6/2018,27,8341182.333
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,827755,1643059,3093544,1.882795444,149376127,24,Entertainment,12/9/2017,12/6/2017,3,49792042.33
ffxKSjUwKdU,Ariana Grande - No Tears Left To Cry,242039,129502,3094021,23.89168507,148689896,10,Music,5/14/2018,4/20/2018,24,6195412.333
zEf423kYfqk,"Becky G, Natti Natasha - Sin Pijama (Official Video)",83941,119798,1425496,11.89916359,139334502,10,Music,5/15/2018,4/20/2018,25,5573380.08
7C2z4GqqS5E,FAKE LOVE' Official MV,1228655,206892,5613827,27.13409412,123010920,10,Music,6/1/2018,5/18/2018,14,8786494.286
M4ZoCHID9GI,The Weeknd - Call Out My Name (Official Video),55320,40837,1427436,34.95447756,122544931,10,Music,5/14/2018,4/12/2018,32,3829529.094
TyHvyGVs42U,"Luis Fonsi, Demi Lovato - chame La Culpa",134224,117196,2376636,20.27915629,102012605,10,Music,11/26/2017,11/17/2017,9,11334733.89
xTlNMmZKwpA,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",101077,102474,1816753,17.7289166,94254507,10,Music,6/14/2018,5/29/2018,16,5890906.688
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,350458,53709,2625661,48.88679737,91933007,24,Entertainment,12/8/2017,11/29/2017,9,10214778.56
tCXGJQYZ9JA,Taylor Swift - Delicate,162990,113990,1928392,16.91720326,71560694,10,Music,3/27/2018,3/12/2018,15,4770712.933
DkeiKbqa02g,"Calvin Harris, Dua Lipa - One Kiss (Official Video)",26279,36928,828626,22.43896231,71017021,10,Music,5/25/2018,5/2/2018,23,3087696.565
i0p1bmr0EmE,TWICE What is Love? M/V,238744,118647,1324609,11.16428565,69295519,10,Music,4/27/2018,4/9/2018,18,3849751.056
aJOTlE1K90k,Maroon 5 - Girls Like You ft. Cardi B,142410,43464,2488565,57.25577489,66529577,10,Music,6/9/2018,5/31/2018,9,7392175.222
U9BwWKXjVaI,Drake - Nice For What,55653,34165,994986,29.1229621,60635812,10,Music,4/27/2018,4/7/2018,20,3031790.6
vjI4Alon-3Q,Maluma - Marinero (Official Video),48391,61049,853193,13.97554423,59877217,10,Music,5/29/2018,5/4/2018,25,2395088.68
u9Mv98Gr5pY,VENOM - Official Trailer (HD),139879,47162,1295189,27.4625546,59254638,24,Entertainment,5/14/2018,4/24/2018,20,2962731.9
LsoLEjrDogU,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],133601,73239,1919583,26.20984721,57951412,10,Music,1/12/2018,1/4/2018,8,7243926.5
iWZmdoY1aTE,Ed Sheeran - Happier (Official Video),67092,33465,1378923,41.20493052,55054077,10,Music,5/15/2018,4/27/2018,18,3058559.833
ulNswX3If6U,Selena Gomez - Back To You (Lyric Video),41774,18037,922355,51.13682985,54863912,1,Film_Animation,6/9/2018,5/10/2018,30,1828797.067
_9YMpuLDnwo,42 HOLY GRAIL HACKS THAT WILL SAVE YOU A FORTUNE,24679,66632,378111,5.6746158,54155921,26,Howto_Style,12/11/2017,12/3/2017,8,6769490.125
QwievZ1Tx-8,Marvel Studios' Avengers: Infinity War - Official Trailer,194290,32705,1565579,47.86971411,52404970,24,Entertainment,3/29/2018,3/16/2018,13,4031151.538
rRr1qiJRsXk,Sanju | Official Teaser | Ranbir Kapoor | Rajkumar Hirani,48941,33051,811144,24.54219237,48654951,24,Entertainment,5/14/2018,4/24/2018,20,2432747.55
l_lblj8Cq0o,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",43541,43049,728696,16.92712955,45938392,10,Music,1/2/2018,12/19/2017,14,3281313.714
dfnCAmr569k,"Taylor Swift - End Game ft. Ed Sheeran, Future",148768,102849,1844959,17.93852152,45141770,10,Music,1/19/2018,1/12/2018,7,6448824.286
J-dv_DcDD_A,ZAYN - Let Me (Official Video),85709,33742,1320316,39.12974927,44782227,10,Music,4/30/2018,4/12/2018,18,2487901.5
2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),93428,24548,1788960,72.87599804,43449654,10,Music,11/16/2017,11/9/2017,7,6207093.429
yDiXQl7grPQ,Do You Hear Yanny or Laurel? (SOLVED with SCIENCE),180913,33554,564804,16.83268761,42799458,28,Science_Technology,6/1/2018,5/16/2018,16,2674966.125
